Key,SourceString
AA_AlwaysText,These Settings Can Always Be Changed
AA_BandChannelLower,Lower Bound:
AA_BandChannelText,Channel
AA_BandChannelUnit,(Hertz)
AA_BandChannelUpper,Upper Bound:
AA_BandLimits,Band Limits
AA_BandLimits_Help,Here you can define custom frequency bounds for up to 32 channels. Must have no overlap (Closed Intervals).
AA_BandLimitThreshold,Band Limit Threshold
AA_BandLimitThreshold_Help,The threshold value changes how sensitive the analyzer is to music. Values greater than Threshold * Average trigger a target to spawn.
AA_BandLimitThresholdError,One or more band limits are overlapping. Remove the overlap to save your settings.
AA_NumBandChannels,Number of Band Channels
AA_ResetButtonText,Reset Analyzer Settings
AA_RestartText,These Settings Require a GameMode Restart to Take Effect
AA_SaveAndRestartButtonText,Save Analyzer Settings and Restart GameMode
AA_SaveButtonText,Save Analyzer Settings
AA_ThresholdText,Threshold:
AA_TimeWindow,Time Window (Duration to capture beat tracking)
AF_AudioDeviceButtonText,Audio Device
AF_AudioDeviceHeader,Audio Devices
AF_BackButtonText,Back
AF_FileButtonText,MP3/OGG File
AF_InputDeviceText,Input
AF_InputDeviceText2,(device for game to listen to)
AF_LoadFileButtonText,Load Song File
AF_OutputAudioDevice,Output
AF_OutputAudioDevice_2,(device to output music to if different from default)
AF_SendPlayback,Send Playback to Output
AF_SongInfoHeader,Song Info
AF_SongLength,Song Length:
AF_SongTitle,Or enter a new Song Title:
AF_SongTitle_HintText,Song Title
AF_SongTitleComboBox_Caption,Choose a previously played song title
AF_StartButtonText,Start
AF_Title,Select an Audio Format
AF_Warning1,Provide the song title and length if you wish to save your scores.
AF_Warning2,"If you don't provide both, the game mode will continue indefinitely."
ASW_SongPathErrorButton,Okay
ASW_SongPathErrorMessage,"There was a problem loading the song. Make sure the song is in mp3 or ogg format. If this problem persists, please contact support."
ASW_SongPathErrorTitle,Error
Category_Game,Game
Category_Sound,Sound
Category_Video,Video
CH_Color,Color
CH_ColorOpacity,Opacity
CH_HexValue,Hex Value
CH_InnerGap,Inner Gap
CH_LineLength,Line Length
CH_LineWidth,Line Width
CH_OutlineOpacity,Outline Opacity
CH_OutlineWidth,Outline Width
CH_RevertToLastSaved,Revert to Last Saved
ConfirmVideoSettingsPopupButton1,Confirm
ConfirmVideoSettingsPopupButton2,Revert
ConfirmVideoSettingsPopupMessage,Settings will be reverted if not confirmed in 10 seconds
ConfirmVideoSettingsPopupTitle,Confirm Video Settings?
CountdownText,Click Anywhere to Begin
FAQ_BaseGameMode,"There are four base game modes: MultiBeat, SingleBeat, BeatTrack, and BeatGrid. A custom game mode should derive from one of these."
FAQ_BeatGrid_Info_1,"Spawns a static grid that activates individual targets, which allows them to be damaged for a brief period of time before returning to inactive."
FAQ_BeatGrid_Info_2,"Only activates adjacent targets by default, but this setting can be changed."
FAQ_BeatTrack_Info_1,Only spawns one target that cannot be destroyed by the player. The player hovers the crosshair over the target to gain score.
FAQ_BeatTrack_Info_2,The target will always prefer to change direction away from the edges of the spawn area.
FAQ_CompletelyRandomTargets,Adjacent-only will only activate a target that was adjacent to a previously activated target. Completely random will choose a target in the grid at random.
FAQ_ConstantTargetSize,The scale/size of the target will remain constant throughout the game mode.
FAQ_ConstantTrackingSpeed,The speed of the target will remain constant throughout the game mode.
FAQ_CustomGameModeName,"What your new game mode will be saved as. Can't be the name of a preset game mode, but you can override custom game modes you create."
FAQ_DynamicTargetSize,"Variable target sizing. Gradually adjusts the target scale from Max Target Scale to Min Target Scale, based on consecutive targets hit."
FAQ_EvenSpacing,Evenly distributes the targets so that the horizontal and vertical distance between targets is the same.
FAQ_ForwardSpread,How far the targets will move forward by the end of their lifespan.
FAQ_GameModeDifficulty,Preset Difficulties
FAQ_GameModeTemplate,The preset game modes or user-created saved game modes.
FAQ_HeadshotOnly,Targets will only spawn at headshot height.
FAQ_HorizontalSpread,"The width (left-right) of the possible spawn area. 3200 is from the left wall to the right wall, with a small gap on each side so the target doesn't clip."
FAQ_MaximumTargetLifespan,"How long the target will live, even if not shot. This doesn't apply to BeatTrack."
FAQ_MaxTargetScale,"The maximum scale/size of the target. If using Dynamic Target Scaling, this will be the starting scale."
FAQ_MaxTrackingSpeed,The maximum speed at which the tracking target will travel before changing directions.
FAQ_MinDistanceBetweenTargets,The minimum distance between the edges of targets. Choosing a high value can cause the game to skip target spawns if it doesn't find room for it.
FAQ_MinTargetScale,"The minimum scale/size of the target. If using Dynamic Target Scaling, this will be the size at which the target gradually shrinks to."
FAQ_MinTrackingSpeed,The minimum speed at which the tracking target will travel before changing directions.
